turn,individual_sum,community_sum,total_sum,cooperation_avg,lambda_avg
146,0.42739952315193386,0.3745817350809013,0.8019812582328352,0.36004642308067974,0.3380166666666667
147,0.48811548209450234,0.3796679802437892,0.8677834623382916,0.3624811729535169,0.33998333333333336
148,0.4246887057431713,0.3837167752825659,0.8084054810257373,0.364919694840316,0.34193333333333337
149,0.8393217341174639,0.3852468355837544,1.2245685697012187,0.3673495911803739,0.3438666666666667
150,0.6852949556868996,0.38842259696574133,1.073717552652641,0.369778941986371,0.3458333333333334
151,0.5651804374300118,0.3884826067840412,0.953663044214053,0.3721925520078735,0.34775
152,0.9319509495119755,0.39179293354910133,1.323743883061077,0.37460637033777616,0.3496666666666666
153,0.4364372162665147,0.39579249589603444,0.832229712162549,0.3770236614036208,0.3516333333333333
154,0.4695924261510048,0.40045110059838884,0.8700435267493938,0.3794475630010739,0.35356666666666664
155,0.4965833041180123,0.41449360245280953,0.9110769065708219,0.38192308358013216,0.3555333333333333
156,0.47557475708136876,0.40978300735337275,0.8853577644347417,0.38435961809955677,0.3574833333333333
157,0.5799907761633978,0.4190789968829167,0.9990697730463145,0.38682455302432345,0.35945
158,0.47994077616340003,0.4226157992037898,0.9025565753671898,0.38929006110433223,0.36143333333333333
159,0.47889077616340003,0.4280746261660726,0.9069654023294728,0.3917652331464887,0.36341666666666667
160,0.4778407761634001,0.39831750475215055,0.8761582809155505,0.39408324517711796,0.36528333333333335
161,0.6333107761634001,0.4092373294133934,1.0425481055767936,0.396437978856298,0.36716666666666664
162,0.5766507761633967,0.38363940526831314,0.9602901814317097,0.39865713931279473,0.3689166666666666
163,0.4156207761634006,0.41826022688677483,0.8338810030501753,0.4010248748184357,0.3708
164,0.4448307761634001,0.42386052988768597,0.8686913060510861,0.4034035643042401,0.37270000000000003
165,0.49986077616339875,0.44179715933038066,0.9416579354937794,0.40585054638705037,0.3746833333333333
166,0.7757307761634005,0.4328402106047798,1.2085709867681804,0.4082399672158283,0.3766
167,0.4533863185391341,0.4369162541197671,0.8903025726589011,0.4106328847483423,0.37851666666666667
168,0.420182265640057,0.4741918725190998,0.8943741381591568,0.41318273120316956,0.38053333333333333
169,0.868054391656512,0.3989607664845066,1.2670151581410187,0.4153689193966941,0.38230000000000003
170,0.610582623491004,0.43811778661139644,1.0487004101024004,0.4177216143224552,0.3841666666666667
171,0.6451934324419308,0.4408776371602228,1.0860710696021534,0.4200719530748094,0.3860666666666666
172,0.48548727360057664,0.4424767055073309,0.9279639791079077,0.42241463881666214,0.3879333333333333
173,0.42764762508359977,0.4539623041250923,0.8816099292086921,0.42479482311429106,0.38985000000000003
174,0.48316552968225385,0.4486848243365257,0.9318503540187796,0.4271357857542955,0.3917
175,0.5555123564270155,0.4503982103208814,1.0059105667478967,0.429469673343198,0.39358333333333334
176,0.4267248527541213,0.44850355769466305,0.8752284104487844,0.43178023461235254,0.3954333333333333
177,0.5767968300762847,0.45646544787165144,1.033262277947936,0.43411214503539647,0.39726666666666666
178,0.46549683007628706,0.45597256003936076,0.9214693901156479,0.4364271051557496,0.39914999999999995
179,0.48583683007628675,0.46020122031221866,0.9460380503885053,0.43874647700542413,0.40099999999999997
180,0.473656830076287,0.4101581725975707,0.8838150026738576,0.4408272745628028,0.4026666666666667
181,0.6497268300762875,0.4439650194872289,1.0936918495635166,0.44304647915882206,0.40441666666666665
182,0.4719368300762846,0.45490192909229077,0.9268387591685754,0.4453007268559357,0.40621666666666667
183,0.42868683007628705,0.45475533725187434,0.8834421673281612,0.4475403423072477,0.4080166666666667
184,0.454136830076287,0.4219997035897126,0.8761365336659996,0.44962089118230253,0.4097166666666667
185,0.45076683007628626,0.45148485889224577,0.9022516889685319,0.45181935566101084,0.4114333333333333
186,0.5920668300762874,0.4519370336307402,1.0440038637070275,0.4540063304338699,0.41321666666666673
187,0.5671168601425218,0.4576884830868432,1.024805343229365,0.45620524097033455,0.41496666666666665
188,0.5027706765605298,0.4570202922709481,0.9597909688314779,0.4583877486941721,0.4167166666666667
189,0.798526399499187,0.47226935408757054,1.2707957535867573,0.4606237468848651,0.41851666666666665
190,0.750769463996635,0.4639742906305865,1.2147437546272215,0.4628097121263877,0.4202333333333333
191,0.6235647393224409,0.479169966621937,1.102734705944378,0.465048625832533,0.4220333333333333
192,0.647126150242742,0.4707058651364436,1.1178320153791856,0.4672369286613946,0.4238166666666667
193,0.6517143209154188,0.5143312116328462,1.166045532548265,0.4696013226357192,0.42568333333333336
194,0.5396893772216987,0.48625625174562626,1.025945628967325,0.4718292670519885,0.42746666666666666
195,0.4772699999999999,0.48645096973992663,0.9637209697399266,0.4740444016707279,0.42923333333333336
196,0.4540600000000001,0.48837738667413527,0.9424373866741352,0.47625430379373096,0.43101666666666666
197,0.5416299999999976,0.493621070207441,1.0352510702074387,0.47847328701260694,0.4327833333333333
198,0.4409,0.49345604367547224,0.9343560436754723,0.48067800070125766,0.43453333333333327
199,0.4664699999999999,0.4960737928296592,0.9625437928296592,0.4828804943739047,0.43629999999999997
200,0.43774,0.49802248256989223,0.9357624825698923,0.4850779227727708,0.43806666666666666
201,0.48242000000000024,0.48820086968510046,0.9706208696851006,0.48722009937230526,0.43978333333333336
202,0.42295999999999956,0.5139209518490051,0.9368809518490044,0.48945886743087846,0.44155000000000005
203,0.43293000000000004,0.5049732931905406,0.9379032931905407,0.49164595760101043,0.44331666666666664
